Name	RAJ2000	DEJ2000
L10-001 	01 32 30.37	+30 27 46.9
L10-002 	01 32 31.41	+30 35 32.9
L10-003 	01 32 42.54	+30 20 58.9
L10-004 	01 32 44.83	+30 22 14.6
L10-005 	01 32 46.73	+30 34 37.8
L10-006 	01 32 52.76	+30 38 12.6
L10-007 	01 32 53.36	+30 48 23.1
L10-008 	01 32 53.40	+30 37 56.9
L10-009 	01 32 54.10	+30 25 31.8
L10-010 	01 32 56.15	+30 40 36.4
L10-011 	01 32 57.07	+30 39 27.1
L10-012 	01 33 00.15	+30 30 46.2
L10-013 	01 33 00.42	+30 44 08.1
L10-014 	01 33 00.67	+30 30 59.3
L10-015 	01 33 01.51	+30 30 49.6
L10-016 	01 33 02.93	+30 32 29.6
L10-017 	01 33 03.57	+30 31 20.9
L10-018 	01 33 04.03	+30 39 53.7
L10-019 	01 33 07.55	+30 42 52.5
L10-020 	01 33 08.98	+30 26 58.9
L10-021 	01 33 09.87	+30 39 34.9
L10-022 	01 33 10.18	+30 42 22.0
L10-023 	01 33 11.10	+30 39 43.7
L10-024 	01 33 11.28	+30 34 23.5
L10-025 	01 33 11.76	+30 38 41.5
L10-026 	01 33 16.73	+30 46 10.3
L10-027 	01 33 17.44	+30 31 28.5
L10-028 	01 33 18.80	+30 27 04.4
L10-029 	01 33 18.94	+30 46 51.9
L10-030 	01 33 21.64	+30 31 31.1
L10-031 	01 33 22.67	+30 27 04.0
L10-032 	01 33 23.85	+30 26 13.5
L10-033 	01 33 27.07	+30 47 48.6
L10-034 	01 33 28.08	+30 31 35.0
L10-035 	01 33 28.96	+30 47 43.5
L10-036 	01 33 29.05	+30 42 17.0
L10-037 	01 33 29.45	+30 49 10.8
L10-038 	01 33 30.21	+30 47 43.8
L10-039 	01 33 31.25	+30 33 33.4
L10-040 	01 33 31.34	+30 42 18.3
L10-041 	01 33 31.80	+30 31 01.1
L10-042 	01 33 35.14	+30 23 07.5
L10-043 	01 33 35.39	+30 42 32.1
L10-044 	01 33 35.61	+30 49 23.0
L10-045 	01 33 35.90	+30 36 27.4
L10-046 	01 33 37.09	+30 32 53.5
L10-047 	01 33 37.75	+30 40 09.2
L10-048 	01 33 38.01	+30 42 18.2
L10-049 	01 33 40.66	+30 39 40.8
L10-050 	01 33 40.73	+30 42 35.7
L10-051 	01 33 40.87	+30 52 13.7
L10-052 	01 33 41.30	+30 32 28.4
L10-053 	01 33 41.71	+30 21 04.1
L10-054 	01 33 42.24	+30 20 57.8
L10-055 	01 33 42.91	+30 41 49.5
L10-056 	01 33 43.49	+30 41 03.8
L10-057 	01 33 43.70	+30 36 11.5
L10-058 	01 33 45.26	+30 32 20.1
L10-059 	01 33 47.46	+30 39 44.7
L10-060 	01 33 48.35	+30 39 28.4
L10-061 	01 33 48.50	+30 33 07.9
L10-062 	01 33 49.75	+30 30 49.7
L10-063 	01 33 49.90	+30 30 16.7
L10-064 	01 33 50.12	+30 35 28.6
L10-065 	01 33 51.06	+30 43 56.2
L10-066 	01 33 51.67	+30 30 59.6
L10-067 	01 33 51.71	+30 30 43.4
L10-068 	01 33 52.15	+30 56 33.4
L10-069 	01 33 54.28	+30 33 47.9
L10-070 	01 33 54.51	+30 45 18.7
L10-071 	01 33 54.91	+30 33 11.0
L10-072 	01 33 55.01	+30 39 57.3
L10-073 	01 33 56.49	+30 21 27.0
L10-074 	01 33 56.97	+30 34 58.7
L10-075 	01 33 57.13	+30 40 48.5
L10-076 	01 33 57.13	+30 35 06.1
L10-077 	01 33 58.06	+30 32 09.6
L10-078 	01 33 58.07	+30 37 54.6
L10-079 	01 33 58.15	+30 48 36.4
L10-080 	01 33 58.42	+30 36 24.3
L10-081 	01 33 58.51	+30 33 32.3
L10-082 	01 33 58.52	+30 51 54.3
L10-083 	01 33 59.93	+30 34 21.2
L10-084 	01 34 00.31	+30 42 19.4
L10-085 	01 34 00.32	+30 47 24.1
L10-086 	01 34 00.60	+30 49 04.2
L10-087 	01 34 01.34	+30 35 20.2
L10-088 	01 34 02.24	+30 31 06.8
L10-089 	01 34 03.31	+30 36 22.9
L10-090 	01 34 03.48	+30 44 43.8
L10-091 	01 34 04.26	+30 32 57.1
L10-092 	01 34 07.23	+30 36 22.0
L10-093 	01 34 07.50	+30 37 08.0
L10-094 	01 34 08.37	+30 46 33.2
L10-095 	01 34 10.02	+30 47 14.9
L10-096 	01 34 10.70	+30 42 24.0
L10-097 	01 34 11.04	+30 38 59.9
L10-098 	01 34 12.69	+30 35 12.0
L10-099 	01 34 13.02	+30 48 36.1
L10-100 	01 34 13.65	+30 43 27.0
L10-101 	01 34 13.71	+30 48 17.5
L10-102 	01 34 14.10	+30 34 30.9
L10-103 	01 34 14.35	+30 41 53.6
L10-104 	01 34 14.38	+30 39 41.6
L10-105 	01 34 14.41	+30 53 51.9
L10-106 	01 34 14.67	+30 31 50.9
L10-107 	01 34 15.57	+30 32 59.9
L10-108 	01 34 16.31	+30 52 32.7
L10-109 	01 34 17.00	+30 51 47.1
L10-110 	01 34 17.03	+30 33 57.7
L10-111 	01 34 17.61	+30 41 23.3
L10-112 	01 34 18.32	+30 54 05.8
L10-113 	01 34 19.28	+30 33 45.9
L10-114 	01 34 19.87	+30 33 56.0
L10-115 	01 34 23.23	+30 25 24.9
L10-116 	01 34 23.27	+30 54 23.9
L10-117 	01 34 25.09	+30 54 58.1
L10-118 	01 34 25.41	+30 48 30.9
L10-119 	01 34 25.87	+30 33 16.8
L10-120 	01 34 29.61	+30 41 33.4
L10-121 	01 34 30.29	+30 35 44.8
L10-122 	01 34 31.85	+30 56 41.5
L10-123 	01 34 32.41	+30 35 32.6
L10-124 	01 34 33.02	+30 46 39.2
L10-125 	01 34 35.41	+30 52 12.7
L10-126 	01 34 36.22	+30 36 23.6
L10-127 	01 34 39.00	+30 37 59.8
L10-128 	01 34 40.73	+30 43 36.4
L10-129 	01 34 41.10	+30 43 28.3
L10-130 	01 34 41.23	+30 43 55.4
L10-131 	01 34 41.89	+30 37 35.2
L10-132 	01 34 44.62	+30 42 38.8
L10-133 	01 34 54.88	+30 41 17.0
L10-134 	01 34 56.44	+30 36 23.2
L10-135 	01 35 00.36	+30 40 05.0
L10-136 	01 35 01.22	+30 38 17.1
L10-137 	01 35 03.18	+30 37 09.6
LL14-001	01 32 25.78	+30 30 04.0
LL14-002	01 32 27.85	+30 35 44.6
LL14-004	01 32 35.36	+30 35 19.8
LL14-005	01 32 37.16	+30 17 54.3
LL14-006	01 32 39.78	+30 27 55.0
LL14-007	01 32 40.23	+30 16 21.3
LL14-008	01 32 40.68	+30 16 31.5
LL14-009	01 32 40.94	+30 31 51.1
LL14-010	01 32 42.71	+30 36 20.1
LL14-012	01 32 45.47	+30 23 14.2
LL14-014	01 32 51.84	+30 51 09.0
LL14-016	01 32 52.80	+30 31 34.2
LL14-020	01 32 56.12	+30 33 30.4
LL14-023	01 32 57.18	+30 39 14.7
LL14-030	01 33 08.55	+30 12 15.2
LL14-032	01 33 09.69	+30 16 39.0
LL14-038	01 33 13.46	+30 28 13.1
LL14-039	01 33 13.81	+30 39 44.0
LL14-040	01 33 15.35	+30 35 41.9
LL14-043	01 33 17.55	+30 46 45.6
LL14-044	01 33 18.13	+30 33 38.6
LL14-046	01 33 19.52	+30 12 29.3
LL14-047	01 33 20.76	+30 25 55.2
LL14-048	01 33 21.19	+30 19 20.6
LL14-049	01 33 21.33	+30 30 31.6
LL14-051	01 33 21.94	+30 25 58.4
LL14-054	01 33 24.01	+30 36 56.8
LL14-055	01 33 24.18	+30 28 50.2
LL14-057	01 33 27.32	+30 23 59.3
LL14-058	01 33 27.92	+30 18 17.4
LL14-059	01 33 28.00	+30 16 01.2
LL14-063	01 33 29.79	+31 01 53.0
LL14-065	01 33 30.64	+30 21 01.5
LL14-066	01 33 31.20	+30 21 14.3
LL14-070	01 33 35.10	+30 19 24.2
LL14-072	01 33 34.99	+30 29 54.6
LL14-075	01 33 37.02	+30 33 10.0
LL14-079	01 33 38.65	+31 02 38.8
LL14-080	01 33 39.59	+30 34 26.0
LL14-081	01 33 40.53	+30 10 51.7
LL14-092	01 33 47.52	+30 17 13.8
LL14-093	01 33 47.82	+30 18 02.1
LL14-094	01 33 48.13	+30 17 25.9
LL14-103	01 33 52.56	+30 28 38.4
LL14-106	01 33 54.69	+30 18 51.0
LL14-109	01 33 55.29	+30 16 49.0
LL14-114	01 33 57.41	+31 00 55.8
LL14-120	01 33 59.15	+30 32 42.1
LL14-122	01 34 00.25	+30 39 28.9
LL14-125	01 34 00.58	+30 50 42.9
LL14-128	01 34 02.10	+30 28 34.5
LL14-133	01 34 04.88	+30 58 30.7
LL14-134	01 34 05.50	+31 07 26.4
LL14-137	01 34 07.98	+31 01 03.7
LL14-142	01 34 11.21	+30 24 15.3
LL14-143	01 34 12.28	+31 02 43.4
LL14-144	01 34 12.90	+30 23 24.3
LL14-148	01 34 13.85	+30 30 39.8
LL14-153	01 34 14.55	+30 44 36.2
LL14-162	01 34 19.45	+30 52 48.9
LL14-163	01 34 19.68	+30 33 41.5
LL14-167	01 34 24.08	+30 33 24.4
LL14-168	01 34 24.48	+30 48 58.3
LL14-173	01 34 29.77	+30 35 08.4
LL14-180	01 34 37.40	+30 44 11.0
LL14-182	01 34 39.69	+30 39 17.6
LL14-183	01 34 39.94	+31 06 02.7
LL14-187	01 34 42.68	+30 40 51.5
LL14-188	01 34 44.02	+31 01 48.9
LL14-189	01 34 45.40	+30 35 35.2
LL14-190	01 34 45.88	+30 57 19.1
LL14-191	01 34 47.24	+30 34 25.0
LL14-192	01 34 50.48	+31 07 38.6
LL14-193	01 34 52.48	+30 50 22.2
LL14-195	01 34 58.60	+31 10 09.4
LL14-196	01 34 59.19	+30 40 16.5
LL14-198	01 35 00.40	+31 02 36.3
LL14-199	01 35 01.82	+30 39 53.9

